daily,time,st10,mp10,st20,mp20,st30,mp30,st60,mp60,st100,mp100,st150,mp150,eh10a,eh10b,eh10c,eh20a,eh20b,eh20c,eh30a,eh30b,eh30c,eh60a,eh60b,eh60c,eh100a,eh100b,eh100c,eh150a,eh150b,eh150c,wd,ws,at,rh,ap,pp,sr,wt,ec,bat,lt,wt_2,year,month,day,hour
2012-01-22,15876.5,4.543333333333333,0,4.823333333333333,0,5.0529166666666665,0,5.291666666666667,0,6.47875,0,7.183333333333334,0,583.89125,625.835,530.7191666666666,662.13375,684.31375,713.25,481.44916666666666,593.1704166666667,237.84416666666667,142.78166666666667,-263.44166666666666,-140.23,143.7075,214.11583333333334,231.775,-170.64833333333334,-174.38,-152.61291666666668,285.25,5.608333333333333,5.216666666666667,85.475,996.3791666666666,62.379583333333336,13.28348075,180.61716666666666,0.388140375,11.70625,5.5575,-19.382833333333334,2012,1,22,11.5
2012-01-23,15900.5,4.107916666666667,0,4.763333333333334,0,5.064166666666667,0,5.293333333333333,0,6.4375,0,7.12625,0,586.7125,634.265,557.4895833333334,666.1566666666666,691.52,718.2825,470.3358333333333,586.66,230.89458333333334,141.95083333333332,-265.3525,-140.94666666666666,142.38791666666665,214.29458333333332,234.90958333333333,-173.54416666666668,-174.86125,-156.39666666666665,160.16666666666666,1.1208333333333333,2.35,94.62083333333334,1008.8125,3.1658333333333335,14.13751525,178.72291666666666,0.389433875,11.671625,2.4375,-21.277083333333334,2012,1,23,11.5
2012-01-24,15924.5,4.020416666666667,0,4.6658333333333335,0,4.957083333333333,0,5.235,0,6.397916666666667,0,7.089166666666666,0,587.33125,634.3158333333333,550.41125,666.8154166666667,691.3170833333334,718.20375,438.33916666666664,575.5858333333333,224.30791666666667,143.01791666666668,-263.4291666666667,-140.11125,143.00708333333333,214.60125,235.51749999999998,-173.27166666666668,-174.3525,-155.47666666666666,142.75,1.1500000000000001,2.4875,92.57083333333334,1017.2083333333334,6.34,23.470109583333333,178.21183333333335,0.38976229166666665,11.704875,3.2025,-21.788166666666665,2012,1,24,11.5
2012-01-25,15948.5,3.3379166666666666,0,4.440416666666667,0,4.8654166666666665,0,5.1825,0,6.365833333333333,0,7.05125,0,588.6958333333333,642.925,581.5125,673.39125,694.775,716.6241666666666,420.64458333333334,568.4195833333333,225.66875,147.36583333333334,-264.1720833333333,-140.85208333333333,142.46708333333333,214.51083333333332,237.48333333333332,-173.6875,-176.96458333333334,-163.79916666666668,119.04166666666667,2.6083333333333334,0.21666666666666667,86.71666666666667,1023.4125,6.34,26.236802583333333,174.91945833333332,0.390451375,11.7215,0.64375,-25.080541666666665,2012,1,25,11.5
2012-01-26,15972.5,2.1675,0,3.7583333333333333,0,4.445416666666667,0,5.043333333333333,0,6.312916666666666,0,7.012083333333333,0,583.3645833333334,647.0945833333333,601.25,683.0141666666667,693.57,710.7733333333333,405.0208333333333,561.5729166666666,226.79583333333335,146.72583333333333,-265.2920833333333,-141.96416666666667,141.28625,213.98041666666666,238.88708333333332,-172.40833333333333,-177.825,-164.21875,132.5,4.891666666666667,-0.26249999999999996,79.18333333333334,1019.9,6.344166666666666,39.04092633333333,172.39479166666666,0.39044745833333333,11.71625,0.74125,-27.605208333333334,2012,1,26,11.5
2012-01-27,15996.5,1.9083333333333334,0,3.2591666666666668,0,3.97,0,4.79625,0,6.2325,0,6.967083333333333,0,583.2608333333334,646.3583333333333,592.3658333333333,683.5741666666667,692.5620833333334,713.2345833333334,391.2445833333333,556.9233333333333,240.23166666666668,143.89416666666668,-266.555,-142.65125,140.35833333333332,213.53875,238.79333333333335,-173.06333333333333,-175.31625,-163.98458333333332,139.66666666666666,4.116666666666666,-0.1,96.11666666666666,1021.1916666666666,6.570416666666667,24.92545133333333,170.44895833333334,0.39066354166666667,11.7565,0.80875,-29.551041666666666,2012,1,27,11.5
2012-01-28,16020.5,2.2083333333333335,0,3.225416666666667,0,3.814583333333333,0,4.574166666666667,0,6.1154166666666665,0,6.910416666666666,0,584.8641666666667,647.6008333333333,583.1179166666667,682.2141666666666,695.2979166666667,713.4825,411.7266666666667,575.3304166666667,263.9675,142.4325,-267.0075,-142.44666666666666,140.03291666666667,213.01833333333335,239.34791666666666,-174.37916666666666,-175.74625,-162.54291666666666,105.70833333333333,2.0458333333333334,-1.1458333333333333,91.1,1030.2833333333333,7.942916666666666,30.216580725,169.3595,0.3914920416666667,11.828625,-0.17000000000000004,-30.6405,2012,1,28,11.5
2012-01-29,16044.5,2.1720833333333336,0,3.117916666666667,0,3.6866666666666665,0,4.439583333333333,0,5.9925,0,6.835416666666666,0,586.8725000000001,656.4075,590.2954166666667,689.3404166666667,701.7275,710.7408333333333,546.545,610.7295833333334,290.62708333333336,145.55958333333334,-266.8979166666667,-140.42125000000001,141.16375,212.41958333333332,241.12541666666667,-171.67249999999999,-175.99208333333334,-166.8325,76.625,1.8583333333333334,-2.3208333333333333,86.1875,1033.0625,8.137500000000001,21.390311625,168.04245833333334,0.39269441666666666,11.794,-1.4433333333333334,-31.957541666666668,2012,1,29,11.5
2012-01-30,16068.5,1.5504166666666668,0,2.8345833333333332,0,3.45875,0,4.332916666666667,0,5.8845833333333335,0,6.76875,0,588.1875,663.4891666666666,610.4025,696.9879166666667,706.7845833333333,706.6795833333333,603.4270833333334,632.97125,314.76416666666665,146.82916666666665,-267.81083333333333,-141.48583333333332,141.64875,212.44541666666666,242.73666666666668,-174.00666666666666,-176.34875,-171.05625,94.83333333333333,2.9416666666666664,-4.65,64.6875,1032.3,8.14,45.43560083333333,166.414375,0.3930556666666667,11.796625,-3.56875,-33.585625,2012,1,30,11.5
2012-01-31,16092.5,1.04375,0,2.41875,0,3.1141666666666667,0,4.15625,0,5.778333333333333,0,6.674166666666666,0,597.2070833333333,666.5445833333333,604.7070833333333,701.4841666666666,707.8870833333333,713.6216666666667,648.0625,648.9895833333334,380.2895833333333,147.39083333333332,-268.1141666666667,-142.16333333333333,141.02208333333334,212.76958333333334,243.81708333333333,-174.04916666666665,-176.39833333333334,-171.19416666666666,85.20833333333333,3.0666666666666664,-4.433333333333334,73.775,1033.9583333333333,8.14,50.358124708333335,164.09745833333332,0.39337733333333336,11.862285714285715,-3.3342857142857145,-35.902541666666664,2012,1,31,11.5
